YEAR,WEEK,AGE 0-4,AGE 5-24,AGE 25-49,AGE 25-64,AGE 50-64,AGE 65,ILITOTAL,TOTAL PATIENTS,NUM. OF PROVIDERS,%UNWEIGHTED ILI,% WEIGHTED ILI
2022,40,X,X,X,X,X,X,1323,58006,107,2.2808,X
2022,41,X,X,X,X,X,X,1384,57347,107,2.41338,X
2022,42,X,X,X,X,X,X,1279,56290,106,2.27216,X
2022,43,X,X,X,X,X,X,1465,58625,106,2.49893,X
2022,44,X,X,X,X,X,X,1782,57709,105,3.08791,X
2022,45,X,X,X,X,X,X,2063,58960,107,3.49898,X
2022,46,X,X,X,X,X,X,2280,53696,108,4.24613,X
2022,47,X,X,X,X,X,X,3788,59659,107,6.34942,X
2022,48,X,X,X,X,X,X,4807,66590,108,7.2188,X
2022,49,X,X,X,X,X,X,4688,64146,107,7.30833,X
2022,50,X,X,X,X,X,X,3971,59846,105,6.63536,X
2022,51,X,X,X,X,X,X,2744,49683,107,5.52302,X
2022,52,X,X,X,X,X,X,2379,54027,107,4.40335,X
2023,1,X,X,X,X,X,X,1564,54318,103,2.87934,X
2023,2,X,X,X,X,X,X,1053,51236,101,2.0552,X
2023,3,X,X,X,X,X,X,641,41011,103,1.563,X
2023,4,X,X,X,X,X,X,856,50780,104,1.6857,X
2023,5,X,X,X,X,X,X,902,51917,101,1.73739,X
2023,6,X,X,X,X,X,X,952,55181,104,1.72523,X
2023,7,X,X,X,X,X,X,975,54815,104,1.77871,X
2023,8,X,X,X,X,X,X,981,55874,104,1.75574,X
2023,9,X,X,X,X,X,X,964,55108,103,1.74929,X
2023,10,X,X,X,X,X,X,928,55232,103,1.68019,X
2023,11,X,X,X,X,X,X,1057,55010,103,1.92147,X
2023,12,X,X,X,X,X,X,947,55623,102,1.70253,X
2023,13,X,X,X,X,X,X,850,54537,102,1.55857,X
2023,14,X,X,X,X,X,X,753,54750,103,1.37534,X
2023,15,X,X,X,X,X,X,713,56587,103,1.26001,X
2023,16,X,X,X,X,X,X,737,56187,102,1.31169,X
2023,17,X,X,X,X,X,X,736,55138,102,1.33483,X
2023,18,X,X,X,X,X,X,680,54735,101,1.24235,X
2023,19,X,X,X,X,X,X,679,55616,101,1.22087,X
2023,20,X,X,X,X,X,X,607,52458,102,1.15712,X
2023,21,X,X,X,X,X,X,611,54623,100,1.11858,X
2023,22,X,X,X,X,X,X,574,55277,101,1.03841,X
2023,23,X,X,X,X,X,X,520,55070,101,0.944253,X
2023,24,X,X,X,X,X,X,403,53564,101,0.752371,X
2023,25,X,X,X,X,X,X,372,54187,98,0.686512,X
2023,26,X,X,X,X,X,X,318,53082,100,0.599073,X
2023,27,X,X,X,X,X,X,331,53297,100,0.621048,X
2023,28,X,X,X,X,X,X,332,54205,100,0.61249,X
2023,29,X,X,X,X,X,X,338,54183,100,0.623812,X
2023,30,X,X,X,X,X,X,317,54356,99,0.583192,X
2023,31,X,X,X,X,X,X,344,54303,99,0.633482,X
2023,32,X,X,X,X,X,X,427,56403,100,0.757052,X
2023,33,X,X,X,X,X,X,577,57412,100,1.00502,X
2023,34,X,X,X,X,X,X,679,53508,100,1.26897,X
2023,35,X,X,X,X,X,X,783,59463,99,1.31679,X
2023,36,X,X,X,X,X,X,830,59327,100,1.39903,X
2023,37,X,X,X,X,X,X,732,58251,102,1.25663,X
2023,38,X,X,X,X,X,X,867,55891,100,1.55123,X
2023,39,X,X,X,X,X,X,846,58899,100,1.43636,X
